,date,account_value,daily_return,cumulative_return
214,2022-11-08,100000.0,0.0,-0.3241672415480068
215,2022-11-09,100000.0,0.0,-0.3241672415480068
216,2022-11-10,100000.0,0.0,-0.3241672415480068
217,2022-11-11,100000.0,0.0,-0.3241672415480068
218,2022-11-14,100000.0,0.0,-0.3241672415480068
219,2022-11-15,100000.0,0.0,-0.3241672415480068
220,2022-11-16,100000.0,0.0,-0.3241672415480068
221,2022-11-17,100000.0,0.0,-0.3241672415480068
222,2022-11-18,100000.0,0.0,-0.3241672415480068
223,2022-11-21,100000.0,0.0,-0.3241672415480068
224,2022-11-22,100000.0,0.0,-0.3241672415480068
225,2022-11-23,100000.0,0.0,-0.3241672415480068
226,2022-11-25,100000.0,0.0,-0.3241672415480068
227,2022-11-28,100000.0,0.0,-0.3241672415480068
228,2022-11-29,100000.0,0.0,-0.3241672415480068
229,2022-11-30,100000.0,0.0,-0.3241672415480068
230,2022-12-01,100000.0,0.0,-0.3241672415480068
231,2022-12-02,100000.0,0.0,-0.3241672415480068
232,2022-12-05,100000.0,0.0,-0.3241672415480068
233,2022-12-06,100000.0,0.0,-0.3241672415480068
234,2022-12-07,100000.0,0.0,-0.3241672415480068
235,2022-12-08,100000.0,0.0,-0.3241672415480068
236,2022-12-09,100000.0,0.0,-0.3241672415480068
237,2022-12-12,100000.0,0.0,-0.3241672415480068
238,2022-12-13,100000.0,0.0,-0.3241672415480068
239,2022-12-14,100000.0,0.0,-0.3241672415480068
240,2022-12-15,100000.0,0.0,-0.3241672415480068
241,2022-12-16,100000.0,0.0,-0.3241672415480068
242,2022-12-19,100000.0,0.0,-0.3241672415480068
243,2022-12-20,100000.0,0.0,-0.3241672415480068
244,2022-12-21,100000.0,0.0,-0.3241672415480068
245,2022-12-22,100000.0,0.0,-0.3241672415480068
246,2022-12-23,100000.0,0.0,-0.3241672415480068
247,2022-12-27,100000.0,0.0,-0.3241672415480068
248,2022-12-28,100000.0,0.0,-0.3241672415480068
249,2022-12-29,100000.0,0.0,-0.3241672415480068
250,2022-12-30,100000.0,0.0,-0.3241672415480068
251,2023-01-03,100000.0,0.0,-0.3241672415480068
252,2023-01-04,100000.0,0.0,-0.3241672415480068
253,2023-01-05,100000.0,0.0,-0.3241672415480068
254,2023-01-06,100000.0,0.0,-0.3241672415480068
255,2023-01-09,100000.0,0.0,-0.3241672415480068
256,2023-01-10,100000.0,0.0,-0.3241672415480068
257,2023-01-11,100000.0,0.0,-0.3241672415480068
258,2023-01-12,100000.0,0.0,-0.3241672415480068
259,2023-01-13,100000.0,0.0,-0.3241672415480068
260,2023-01-17,100000.0,0.0,-0.3241672415480068
261,2023-01-18,100000.0,0.0,-0.3241672415480068
262,2023-01-19,100000.0,0.0,-0.3241672415480068
263,2023-01-20,100000.0,0.0,-0.3241672415480068
264,2023-01-23,100000.0,0.0,-0.3241672415480068
265,2023-01-24,100000.0,0.0,-0.3241672415480068
266,2023-01-25,100000.0,0.0,-0.3241672415480068
267,2023-01-26,100000.0,0.0,-0.3241672415480068
268,2023-01-27,100000.0,0.0,-0.3241672415480068
269,2023-01-30,100000.0,0.0,-0.3241672415480068
270,2023-01-31,100000.0,0.0,-0.3241672415480068
271,2023-02-01,100000.0,0.0,-0.3241672415480068
272,2023-02-02,100000.0,0.0,-0.3241672415480068
273,2023-02-03,100000.0,0.0,-0.3241672415480068
274,2023-02-06,100000.0,0.0,-0.3241672415480068
275,2023-02-07,100000.0,0.0,-0.3241672415480068
276,2023-02-08,100000.0,0.0,-0.3241672415480068
277,2023-02-09,100000.0,0.0,-0.3241672415480068
278,2023-02-10,100000.0,0.0,-0.3241672415480068
279,2023-02-13,100000.0,0.0,-0.3241672415480068
280,2023-02-14,100000.0,0.0,-0.3241672415480068
281,2023-02-15,100000.0,0.0,-0.3241672415480068
282,2023-02-16,100000.0,0.0,-0.3241672415480068
283,2023-02-17,100000.0,0.0,-0.3241672415480068
284,2023-02-21,100000.0,0.0,-0.3241672415480068
285,2023-02-22,100000.0,0.0,-0.3241672415480068
286,2023-02-23,100000.0,0.0,-0.3241672415480068
287,2023-02-24,100000.0,0.0,-0.3241672415480068
288,2023-02-27,100000.0,0.0,-0.3241672415480068
289,2023-02-28,100000.0,0.0,-0.3241672415480068
290,2023-03-01,100000.0,0.0,-0.3241672415480068
291,2023-03-02,100000.0,0.0,-0.3241672415480068
292,2023-03-03,100000.0,0.0,-0.3241672415480068
293,2023-03-06,100000.0,0.0,-0.3241672415480068
294,2023-03-07,100000.0,0.0,-0.3241672415480068
295,2023-03-08,100000.0,0.0,-0.3241672415480068
296,2023-03-09,100000.0,0.0,-0.3241672415480068
297,2023-03-10,100000.0,0.0,-0.3241672415480068
298,2023-03-13,100000.0,0.0,-0.3241672415480068
299,2023-03-14,100000.0,0.0,-0.3241672415480068
300,2023-03-15,100000.0,0.0,-0.3241672415480068
301,2023-03-16,100000.0,0.0,-0.3241672415480068
302,2023-03-17,100000.0,0.0,-0.3241672415480068
303,2023-03-20,100000.0,0.0,-0.3241672415480068
304,2023-03-21,100000.0,0.0,-0.3241672415480068
305,2023-03-22,100000.0,0.0,-0.3241672415480068
306,2023-03-23,100000.0,0.0,-0.3241672415480068
307,2023-03-24,100000.0,0.0,-0.3241672415480068
308,2023-03-27,100000.0,0.0,-0.3241672415480068
309,2023-03-28,100000.0,0.0,-0.3241672415480068
310,2023-03-29,100000.0,0.0,-0.3241672415480068
311,2023-03-30,100000.0,0.0,-0.3241672415480068
312,2023-03-31,100000.0,0.0,-0.3241672415480068
313,2023-04-03,100000.0,0.0,-0.3241672415480068
314,2023-04-04,100000.0,0.0,-0.3241672415480068
315,2023-04-05,100000.0,0.0,-0.3241672415480068
316,2023-04-06,100000.0,0.0,-0.3241672415480068
317,2023-04-10,100000.0,0.0,-0.3241672415480068
318,2023-04-11,100000.0,0.0,-0.3241672415480068
319,2023-04-12,100000.0,0.0,-0.3241672415480068
320,2023-04-13,100000.0,0.0,-0.3241672415480068
321,2023-04-14,100000.0,0.0,-0.3241672415480068
322,2023-04-17,100000.0,0.0,-0.3241672415480068
323,2023-04-18,100000.0,0.0,-0.3241672415480068
324,2023-04-19,100000.0,0.0,-0.3241672415480068
325,2023-04-20,100000.0,0.0,-0.3241672415480068
326,2023-04-21,100000.0,0.0,-0.3241672415480068
327,2023-04-24,100000.0,0.0,-0.3241672415480068
328,2023-04-25,100000.0,0.0,-0.3241672415480068
329,2023-04-26,100000.0,0.0,-0.3241672415480068
330,2023-04-27,100000.0,0.0,-0.3241672415480068
331,2023-04-28,100000.0,0.0,-0.3241672415480068
332,2023-05-01,100000.0,0.0,-0.3241672415480068
